Method,Duration(s),ArraySize,ThreadsNumber,TotalSum
no_threads,0.01,1000000,1,6682928
threads_v1,0.01,1000000,1,6682928
threads_v2,0.02,1000000,1,6682928
no_threads,0.02,1000000,1,6682928
threads_v1,0.01,1000000,2,6682928
threads_v2,0.02,1000000,2,6682928
no_threads,0.01,1000000,1,6682928
threads_v1,0.01,1000000,4,6682928
threads_v2,0.02,1000000,4,6682928
no_threads,0.01,1000000,1,6682928
threads_v1,0.02,1000000,8,6682928
threads_v2,0.02,1000000,8,6682928
no_threads,0.02,1000000,1,6682928
threads_v1,0.01,1000000,16,6682928
threads_v2,0.03,1000000,16,6682928
no_threads,0.01,1000000,1,6682928
threads_v1,0.02,1000000,32,6682928
threads_v2,0.03,1000000,32,6682928
no_threads,0.02,1000000,1,6682928
threads_v1,0.03,1000000,64,6682928
threads_v2,0.04,1000000,64,6682928
no_threads,0.02,1000000,1,6682928
threads_v1,0.04,1000000,128,6682928
threads_v2,0.05,1000000,128,6682928
no_threads,0.15,10000000,1,-1723988
threads_v1,0.1,10000000,1,-1723988
threads_v2,0.17,10000000,1,-1723988
no_threads,0.16,10000000,1,-1723988
threads_v1,0.11,10000000,2,-1723988
threads_v2,0.18,10000000,2,-1723988
no_threads,0.2,10000000,1,-1723988
threads_v1,0.09,10000000,4,-1723988
threads_v2,0.16,10000000,4,-1723988
no_threads,0.15,10000000,1,-1723988
threads_v1,0.09,10000000,8,-1723988
threads_v2,0.18,10000000,8,-1723988
no_threads,0.14,10000000,1,-1723988
threads_v1,0.1,10000000,16,-1723988
threads_v2,0.17,10000000,16,-1723988
no_threads,0.17,10000000,1,-1723988
threads_v1,0.11,10000000,32,-1723988
threads_v2,0.19,10000000,32,-1723988
no_threads,0.16,10000000,1,-1723988
threads_v1,0.13,10000000,64,-1723988
threads_v2,0.17,10000000,64,-1723988
no_threads,0.19,10000000,1,-1723988
threads_v1,0.13,10000000,128,-1723988
threads_v2,0.24,10000000,128,-1723988
no_threads,0.79,50000000,1,-4132159
threads_v1,0.35,50000000,1,-4132159
threads_v2,0.66,50000000,1,-4132159
no_threads,0.61,50000000,1,-4132159
threads_v1,0.38,50000000,2,-4132159
threads_v2,0.71,50000000,2,-4132159
no_threads,0.61,50000000,1,-4132159
threads_v1,0.39,50000000,4,-4132159
threads_v2,0.69,50000000,4,-4132159
no_threads,0.64,50000000,1,-4132159
threads_v1,0.34,50000000,8,-4132159
threads_v2,0.74,50000000,8,-4132159
no_threads,0.64,50000000,1,-4132159
threads_v1,0.35,50000000,16,-4132159
threads_v2,0.74,50000000,16,-4132159
no_threads,0.62,50000000,1,-4132159
threads_v1,0.37,50000000,32,-4132159
threads_v2,0.81,50000000,32,-4132159
no_threads,0.63,50000000,1,-4132159
threads_v1,0.52,50000000,64,-4132159
threads_v2,0.67,50000000,64,-4132159
no_threads,0.61,50000000,1,-4132159
threads_v1,0.39,50000000,128,-4132159
threads_v2,0.76,50000000,128,-4132159
